cvegeo,intralinks,size,grado,fuerza,longitude,latitude
150470130,"",10,17,21,-99.63005401992154,19.583889085090732
1505700011440,47.0,125,57,99,-99.23462767486632,19.480242314886052
1505900580201,"",4,4,4,-99.06769573832447,19.7028644799888
1506000010240,"",51,22,29,-99.29534664988765,19.61139171471151
1506200010264,0.0,0,0,0,-99.45253588941529,19.27885267513949
1509100010181,"",17,14,26,-99.1859694900665,19.74568504524071
1510600013212,"",3,6,7,-99.6414701399961,19.304343500051317
1510600864244,3.0,30,67,105,-99.62082442996112,19.28401683012281
1510600874047,"",17,28,32,-99.63378417511882,19.317654530319594
1510900032042,"",1,1,1,-99.15320388980273,19.598657795306245
1510900250188,"",55,42,64,-99.09145341532516,19.682147984634184
151210001248A,1.0,29,12,12,-99.21404768502258,19.606243684793867
170290771,0.0,0,0,0,-99.01038654668685,18.906981709839563
0900300010696,6.0,127,78,107,-99.1408243251249,19.327209724195164
0900500011542,78.0,186,175,315,-99.06638414011383,19.48348875987684
0900700010708,31.0,173,146,286,-99.11233583974365,19.36636839967556
0900700011000,41.0,262,243,394,-99.07004811002595,19.358595745318407
090070001305A,43.0,266,195,769,-99.03795747023186,19.335065560004807
0900700014522,25.0,71,38,79,-99.05231359965018,19.3762246006412
0901000011345,98.0,252,81,174,-99.27314240990606,19.328999890830133
0901000012150,30.0,195,83,134,-99.19362168531877,19.380642655272172
0901200010568,16.0,160,102,136,-99.13514981976729,19.291122510293413
0901200012259,9.0,58,25,25,-99.16002294974194,19.27408341484318
0901300010283,52.0,241,200,350,-99.13396835255972,19.256395055110552
0901500010288,"",7,6,10,-99.13747674036333,19.453864534771565
0901500010292,4.0,49,45,62,-99.136060380076,19.453345039892394
0901500010377,1.0,30,3,3,-99.14647273992625,19.453667295124646
0901700010545,23.0,144,77,113,-99.10447510979105,19.432304899943404
130510577,17.0,130,220,403,-98.72586467985508,20.03282046613434
1501300010490,76.0,253,99,186,-99.23921770000582,19.590461414745533
1501300011893,15.0,100,23,32,-99.27112319491894,19.539196630023596
150230177,"",11,52,55,-99.23084031534576,19.79408894496386
1502500191625,"",13,26,28,-98.91064559022483,19.214050709778636
150290001019A,"",53,84,165,-98.92403762509653,19.403782275001653
1503300013905,2.0,55,52,78,-98.9949908851495,19.611351984826584
1503700240469,1.0,24,80,759,-99.36734651114566,19.381457463931014
1503900011851,1.0,56,72,123,-98.88110567004509,19.33135159466144
1505800011289,106.0,360,263,389,-99.01673534509023,19.38929110021506
1507000010406,52.0,125,117,163,-98.98257521458397,19.364516780072144
1508100190202,"",16,61,152,-98.99874041443135,19.67044820512939
1510400012046,75.0,266,124,288,-99.16575674525075,19.54667365984991
1512100011922,"",40,58,81,-99.19815189022037,19.62778445511014
151221012,"",16,19,21,-98.94954461469078,19.262055534234968
0900500010493,6.0,81,40,63,-99.15658817024374,19.504877134803657
0900500012381,27.0,122,118,344,-99.07651890497752,19.45107782997671
0900500012875,17.0,103,46,63,-99.13693434031511,19.508977739926166
0900500012998,35.0,235,144,248,-99.12589458469401,19.546604894972827
0900500013430,32.0,131,59,119,-99.12315915455424,19.581996965047267
090070001038A,30.0,213,153,280,-99.10460071007354,19.37427056023
0900700010746,92.0,310,183,339,-99.09489167943575,19.36169154571232
0900700013740,82.0,202,88,127,-99.0999307845591,19.35381928992829
0900700014081,16.0,161,74,151,-99.01145676884747,19.338434209767794
0901000010277,11.0,31,8,13,-99.20582699996666,19.387689184655756
0901000010991,158.0,288,207,339,-99.18267734007348,19.356838139704287
0901300010870,17.0,81,72,110,-99.02030986557142,19.24285458345635
1305100831931,"",1,2,3,-98.71215434933686,20.028551671146015
1306900440764,0.0,0,0,0,-98.96798964575737,19.871281901192066
150020008036A,"",10,38,47,-98.93264847287548,19.66701482041642
1501300011535,1.0,45,79,166,-99.26797516009691,19.599190114809815
1502000010476,7.0,14,11,28,-99.07971181474537,19.639955580344445
150250013195A,"",6,1,1,-98.85913118095189,19.30149252024801
1502900010359,1.0,65,87,116,-98.88195852938355,19.409355644974532
1503300011383,2.0,57,63,118,-99.07263436994752,19.614220795036537
150330001181A,46.0,181,118,270,-99.03146363504973,19.514657265068603
1503300012593,"",66,53,74,-99.04719007030198,19.608520969825314
1503300013657,11.0,150,27,31,-99.06990821471129,19.551590680091493
1503300014496,"",23,20,40,-99.07416539516313,19.62927331474974
1503900010745,"",32,39,42,-98.8791198296837,19.312638844760347
1503900012012,"",13,13,16,-98.92972565488955,19.32867287207124
150510171,"",125,81,116,-99.46528691583057,19.306588974866756
1505400350811,"",9,9,11,-99.55481511472469,19.244469744768434
1505400491129,"",7,3,5,-99.59645710001965,19.271768230264662
150570001210A,10.0,109,83,159,-99.27514615946478,19.44194497511036
1505700012576,45.0,167,99,229,-99.26545932004373,19.450982154701478
1505800010628,106.0,403,169,309,-99.00773073501225,19.404256855224855
1505800010793,107.0,321,130,299,-98.99177748500287,19.39702049991692
1505800011147,76.0,175,53,87,-99.04956269015699,19.407570024992964
